muestra_id,origen_grifo,timestep,MQ2,MQ4,MQ135,MQ3,MQ7,MQ9,temp,humedad
MUESTRA_035,Grifo_3,1,22729.0,21958.0,22242.0,2904.0,19315.0,2877.0,23.3,38.2
MUESTRA_035,Grifo_3,2,22738.0,21952.0,22249.0,2917.0,19325.0,2861.0,23.3,38.2
MUESTRA_035,Grifo_3,3,22718.0,21948.0,22242.0,2901.0,19309.0,2878.0,23.3,38.0
MUESTRA_035,Grifo_3,4,22704.0,21944.0,22223.0,2899.0,19309.0,2883.0,23.3,38.0
MUESTRA_035,Grifo_3,5,22693.0,21951.0,22228.0,2898.0,19311.0,2864.0,23.3,37.8
MUESTRA_035,Grifo_3,6,22670.0,21957.0,22216.0,2911.0,19296.0,2868.0,23.3,37.8
MUESTRA_035,Grifo_3,7,22677.0,21953.0,22209.0,2895.0,19282.0,2868.0,23.4,37.6
MUESTRA_035,Grifo_3,8,22663.0,21958.0,22210.0,2898.0,19271.0,2878.0,23.4,37.6
MUESTRA_035,Grifo_3,9,22667.0,21971.0,22204.0,2899.0,19281.0,2886.0,23.4,37.4
MUESTRA_035,Grifo_3,10,22650.0,21959.0,22195.0,2902.0,19258.0,2871.0,23.4,37.4
MUESTRA_035,Grifo_3,11,22646.0,21968.0,22201.0,2897.0,19265.0,2874.0,23.4,37.1
MUESTRA_035,Grifo_3,12,22635.0,21957.0,22198.0,2914.0,19248.0,2861.0,23.4,37.1
MUESTRA_035,Grifo_3,13,22626.0,21956.0,22185.0,2904.0,19254.0,2860.0,23.4,36.9
MUESTRA_035,Grifo_3,14,22621.0,21949.0,22169.0,2890.0,19225.0,2881.0,23.4,36.9
MUESTRA_035,Grifo_3,15,22606.0,21945.0,22166.0,2904.0,19222.0,2876.0,23.5,36.7
MUESTRA_035,Grifo_3,16,22602.0,21946.0,22162.0,2907.0,19236.0,2858.0,23.5,36.7
MUESTRA_035,Grifo_3,17,22590.0,21951.0,22153.0,2895.0,19219.0,2869.0,23.5,36.5
MUESTRA_035,Grifo_3,18,22590.0,21946.0,22155.0,2896.0,19216.0,2874.0,23.5,36.5
MUESTRA_035,Grifo_3,19,22583.0,21964.0,22133.0,2899.0,19215.0,2875.0,23.5,36.3
MUESTRA_035,Grifo_3,20,22563.0,21953.0,22147.0,2891.0,19207.0,2884.0,23.5,36.3
MUESTRA_035,Grifo_3,21,22561.0,21947.0,22131.0,2900.0,19199.0,2860.0,23.5,36.1
MUESTRA_035,Grifo_3,22,22542.0,21947.0,22136.0,2899.0,19183.0,2869.0,23.5,36.1
MUESTRA_035,Grifo_3,23,22542.0,21940.0,22124.0,2905.0,19187.0,2855.0,23.6,35.9
MUESTRA_035,Grifo_3,24,22535.0,21953.0,22117.0,2897.0,19171.0,2875.0,23.6,35.9
MUESTRA_035,Grifo_3,25,22556.0,21958.0,22116.0,2893.0,19178.0,2874.0,23.6,35.6
MUESTRA_035,Grifo_3,26,22548.0,21948.0,22125.0,2905.0,19168.0,2851.0,23.6,35.6
MUESTRA_035,Grifo_3,27,22534.0,21949.0,22116.0,2891.0,19170.0,2870.0,23.6,35.5
MUESTRA_035,Grifo_3,28,22534.0,21949.0,22105.0,2890.0,19160.0,2879.0,23.6,35.5
MUESTRA_035,Grifo_3,29,22530.0,21946.0,22109.0,2896.0,19156.0,2863.0,23.6,35.3
MUESTRA_035,Grifo_3,30,22536.0,21958.0,22121.0,2891.0,19158.0,2873.0,23.6,35.3
MUESTRA_036,Grifo_3,1,22530.0,21955.0,22121.0,2903.0,19164.0,2858.0,23.7,35.1
MUESTRA_036,Grifo_3,2,22511.0,21943.0,22097.0,2891.0,19138.0,2878.0,23.7,35.1
MUESTRA_036,Grifo_3,3,22507.0,21943.0,22107.0,2886.0,19149.0,2874.0,23.7,34.9
MUESTRA_036,Grifo_3,4,22500.0,21937.0,22077.0,2895.0,19131.0,2858.0,23.7,34.9
MUESTRA_036,Grifo_3,5,22506.0,21938.0,22095.0,2902.0,19146.0,2847.0,23.7,34.7
MUESTRA_036,Grifo_3,6,22491.0,21941.0,22070.0,2893.0,19141.0,2856.0,23.7,34.7
MUESTRA_036,Grifo_3,7,22496.0,21953.0,22099.0,2884.0,19149.0,2863.0,23.7,34.5
MUESTRA_036,Grifo_3,8,22484.0,21951.0,22081.0,2905.0,19135.0,2851.0,23.7,34.5
MUESTRA_036,Grifo_3,9,22493.0,21943.0,22072.0,2906.0,19133.0,2849.0,23.7,34.4
MUESTRA_036,Grifo_3,10,22476.0,21943.0,22067.0,2891.0,19125.0,2869.0,23.7,34.4
MUESTRA_036,Grifo_3,11,22493.0,21945.0,22080.0,2898.0,19124.0,2862.0,23.8,34.3
MUESTRA_036,Grifo_3,12,22473.0,21926.0,22061.0,2900.0,19108.0,2837.0,23.8,34.3
MUESTRA_036,Grifo_3,13,22467.0,21945.0,22060.0,2886.0,19110.0,2858.0,23.8,34.1
MUESTRA_036,Grifo_3,14,22476.0,21941.0,22059.0,2898.0,19099.0,2864.0,23.8,34.1
MUESTRA_036,Grifo_3,15,22461.0,21952.0,22060.0,2885.0,19094.0,2869.0,23.8,34.0
MUESTRA_036,Grifo_3,16,22449.0,21944.0,22047.0,2884.0,19104.0,2872.0,23.8,34.0
MUESTRA_036,Grifo_3,17,22461.0,21932.0,22051.0,2886.0,19086.0,2876.0,23.8,33.8
MUESTRA_036,Grifo_3,18,22432.0,21924.0,22026.0,2885.0,19093.0,2868.0,23.8,33.8
MUESTRA_036,Grifo_3,19,22458.0,21937.0,22052.0,2904.0,19104.0,2848.0,23.9,33.7
MUESTRA_036,Grifo_3,20,22443.0,21938.0,22025.0,2884.0,19090.0,2865.0,23.9,33.7
MUESTRA_036,Grifo_3,21,22456.0,21953.0,22052.0,2889.0,19080.0,2872.0,23.9,33.5
MUESTRA_036,Grifo_3,22,22442.0,21943.0,22031.0,2893.0,19076.0,2856.0,23.9,33.5
MUESTRA_036,Grifo_3,23,22447.0,21945.0,22028.0,2883.0,19065.0,2865.0,23.9,33.5
MUESTRA_036,Grifo_3,24,22452.0,21942.0,22050.0,2884.0,18907.0,2864.0,23.9,33.5
MUESTRA_036,Grifo_3,25,22436.0,21954.0,22031.0,2894.0,18961.0,2868.0,23.9,33.3
MUESTRA_036,Grifo_3,26,22436.0,21928.0,22037.0,2893.0,18975.0,2847.0,23.9,33.3
MUESTRA_036,Grifo_3,27,22418.0,21932.0,22022.0,2874.0,18936.0,2873.0,23.9,33.2
MUESTRA_036,Grifo_3,28,22423.0,21924.0,22026.0,2885.0,18964.0,2855.0,23.9,33.2
MUESTRA_036,Grifo_3,29,22428.0,21939.0,22020.0,2886.0,18967.0,2870.0,24.0,33.1
MUESTRA_036,Grifo_3,30,22422.0,21935.0,22008.0,2887.0,18990.0,2845.0,24.0,33.1
MUESTRA_037,Grifo_3,1,22405.0,21936.0,22002.0,2877.0,18942.0,2872.0,24.0,32.9
MUESTRA_037,Grifo_3,2,22410.0,21931.0,22014.0,2885.0,19008.0,2869.0,24.0,32.9
MUESTRA_037,Grifo_3,3,22419.0,21926.0,22004.0,2900.0,18993.0,2854.0,24.0,32.8
MUESTRA_037,Grifo_3,4,22396.0,21937.0,22006.0,2880.0,19011.0,2870.0,24.0,32.8
MUESTRA_037,Grifo_3,5,22411.0,21932.0,22004.0,2880.0,19027.0,2869.0,24.0,32.7
MUESTRA_037,Grifo_3,6,22405.0,21931.0,21997.0,2889.0,19010.0,2840.0,24.0,32.7
MUESTRA_037,Grifo_3,7,22400.0,21931.0,22005.0,2896.0,19011.0,2858.0,24.1,32.6
MUESTRA_037,Grifo_3,8,22409.0,21930.0,21990.0,2901.0,19027.0,2855.0,24.1,32.6
MUESTRA_037,Grifo_3,9,22403.0,21932.0,21983.0,2888.0,19013.0,2841.0,24.1,32.5
MUESTRA_037,Grifo_3,10,22398.0,21936.0,22002.0,2889.0,19008.0,2840.0,24.1,32.5
MUESTRA_037,Grifo_3,11,22387.0,21926.0,22002.0,2895.0,18904.0,2847.0,24.1,32.3
MUESTRA_037,Grifo_3,12,22395.0,21934.0,21991.0,2888.0,18974.0,2844.0,24.1,32.3
MUESTRA_037,Grifo_3,13,22393.0,21932.0,21973.0,2878.0,19032.0,2857.0,24.1,32.3
